saccs_start,saccs_end
4611418,4611759
4611937,4612362
4612569,4612579
4614445,4614798
4615044,4615064
4615256,4615265
4615580,4615918
4616085,4616092
4617562,4617971
4619343,4619361
4619620,4619631
4620153,4620161
4620336,4620342
4620716,4621059
4622101,4622113
4622732,4623158
4623269,4623285
4624579,4624593
4624788,4624888
4625064,4625081
4626044,4626064
4626331,4626342
4626520,4626526
4627048,4627062
4627281,4627291
4628392,4628753
4629323,4629342
4629366,4629381
4629801,4629809
4630735,4630754
4631030,4631677
4631832,4631848
4631971,4631993
4632664,4632677
4632869,4632880
4633112,4633120
4633257,4633279
4633949,4633965
4634178,4634422
4634538,4634908
4637830,4638139
4638243,4638263
4638847,4639194
4639441,4639463
4640909,4641189
4641466,4641479
4641947,4641955
4642789,4642804
4643274,4643288
4643421,4643432
4643674,4643694
4644671,4644982
4645145,4645156
4645782,4645791
4646971,4646994
4647727,4647747
4648042,4648057
4648188,4648206
4648406,4648423
4648585,4648594
4648988,4649010
4649296,4649315
4649767,4649786
4650053,4650366
4651404,4651411
4651925,4651949
4653689,4653702
4653891,4653920
4655074,4655096
4656175,4656190
4656212,4656226
4656495,4656515
4656677,4656741
4656876,4656896
4657309,4657322
4657571,4657585
4657699,4657985
4658151,4658165
4658269,4658597
4658873,4658882
4659834,4659842
4660929,4660937
4661270,4661670
4661784,4661923
4662772,4662788
4662884,4663219
4663393,4663405
4663561,4663880
4664069,4664080
4664305,4664313
4664503,4664519
4665081,4665097
4665241,4665250
4665864,4665875
4666289,4666662
4666779,4666873
4666904,4666913
4667032,4667042
4667432,4667442
4668500,4668515
4668670,4668677
4668896,4668903
4669430,4669451
4670105,4670412
4670659,4670676
4671282,4671658
4671781,4671883
4671984,4672000
4672227,4672235
4673294,4673309
4674088,4674095
4674124,4674456
4677030,4677157
4679300,4679313
4679553,4679897
4679984,4680006
4680215,4680274
4681446,4681465
4682175,4682197
4682435,4682751
4683062,4683083
4683172,4683196
4683949,4683957
4684169,4684183
4684293,4684299
4684494,4684510
4685376,4685388
4685466,4685711
4687021,4687038
4687665,4688036
4688065,4688185
4688368,4688378
4688890,4688908
4688995,4689112
4689279,4689291
4689352,4689533
4691178,4691536
4691849,4692146
4692209,4692223
4692718,4692730
4693259,4693428
4693474,4693527
4693708,4694391
4695212,4695229
4696402,4696416
4696623,4696629
4697265,4697276
4697403,4697416
4697443,4697582
4697629,4697637
4698317,4698600
4698623,4698710
4698779,4699102
4699267,4699283
4699374,4699486
4699900,4699919
4700310,4700319
4700509,4700909
4700999,4701690
4701716,4701797
4701910,4701934
4702262,4702270
4702347,4702591
4702704,4702809
4702833,4702859
4703092,4703304
4703486,4703497
4703674,4703682
4704546,4704852
4705017,4705030
4706601,4706607
4706889,4707150
4707316,4707325
4708619,4710084
4710110,4710190
4711034,4711145
4711494,4711515
4711781,4711814
4711987,4712453
4712681,4712903
4713071,4713077
4713257,4713273
4714190,4714437
4714824,4714848
4715220,4715491
4715675,4715696
4715824,4716465
4716832,4717070
